epoch	loss	acc	val_loss	val_acc
0	0.750029	0.537109	0.686696	0.549716
1	0.726908	0.527344	0.630915	0.683239
2	0.639689	0.626953	0.599481	0.731534
3	0.632807	0.640152	0.570108	0.771307
4	0.609736	0.673828	0.537024	0.794034
5	0.547662	0.724609	0.515137	0.799716
6	0.546645	0.724609	0.492979	0.796875
7	0.521333	0.748106	0.457790	0.825284
8	0.508976	0.746094	0.444514	0.825284
9	0.476865	0.777344	0.430528	0.826705
